,Date,Volume,Adj Close,Label,DJIA_news_sentiment,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
1944,2008-10-10,674920000,8451.19043,0,-0.11849298292273498,0.013479860522383777,-0.16909442389693802,-0.16769695253297429,0.32590153063784044,0.0,-0.3455094082986257,-0.39811309628645664,-0.2872910097394809,-0.48742325727633273,-0.10464695779914529,-0.5828268579919833,-0.20561016372740099,0.2976977588234677,-0.48156842435744596,0.0,0.1550602426013667,0.0,0.4618583081955029,0.11626364907425159,-0.4391305950965299,0.0,-0.2753366144688645,0.0,0.0,-0.3883381614510099
1943,2008-10-13,399290000,9387.610352,1,-0.04878412054615963,0.0,0.4496312432712215,0.10261354118477187,-0.3436380922001974,-0.062389306116287103,0.47204964031620555,-0.48794313814473234,-0.3004266628211764,0.0,-0.3874966521971385,-0.40050406251327175,0.0,-0.09420995625248342,0.16900414048511872,0.19592259590566227,0.0,-0.34375514102564103,0.4613052629830918,-0.13967423038495325,0.0,0.0,0.0,0.197516072460466,-0.538033532831585,-0.16957473577306245
1942,2008-10-14,412740000,9310.990234,0,-0.17436065353997093,-0.34457395818402614,-0.38698016916356587,0.0,-0.3077316447999464,-0.5765940836693183,0.14342400547234357,0.0,0.0,0.0,-0.2984939018853952,-0.23842773206262338,0.0,-0.15003657271080367,0.4708829418498168,0.5996748811273268,-0.4356255452645182,-0.4724128471293199,-0.544510132183908,-0.321813360787763,-0.439526680835469,-0.2343181823719758,0.0,-0.45436154943807144,0.0,-0.3675918064620566
1941,2008-10-15,374350000,8577.910156,0,-0.11372475900673379,0.06935576650563606,0.323042700271347,-0.306425749923571,0.05012720383386001,0.0,-0.4614347043374245,-0.22281854433308237,0.0,0.0,0.0,-0.5305268628762543,0.0,0.32887196189378254,0.0,0.0,-0.3900396591183574,0.0,0.06071628880811218,0.0,-0.49762929658385086,0.3533676867667356,-0.39481394762845856,-0.6817909789808622,-0.2904170687177843,-0.25270377074817296
1940,2008-10-16,422450000,8979.259766,1,-0.07016186315851937,0.0,-0.27734415796703293,0.0,-0.32973326366015226,0.18874024060480582,0.3212617433687003,0.1817605348780636,-0.5312170888781799,-0.24720216207973453,-0.2889326313363834,0.0,-0.40230776622200254,0.019690436562833303,0.37790623836027787,0.11425274282874512,0.4987190695970695,-0.05314642137800472,-0.21467570567650276,-0.4115744593458742,0.31939192164712027,0.0,-0.4735922582972583,-0.4858212252284752,-0.25246402683656044,0.19224166009556168
1939,2008-10-17,360600000,8852.219727,0,-0.17465810280920885,0.0,-0.3516683901593576,0.3166966179750837,0.0,-0.5140742934782608,-0.4005499401511802,0.0,-0.5426036978519667,-0.11352135357758185,-0.3718640504227053,-0.17252223046378246,0.0,0.0,-0.21607105012751468,0.0,-0.37036788762626266,0.2516050639077107,-0.10724762533722317,-0.4242760123456789,-0.31907561717210803,0.26193402738565785,-0.46771664957264947,-0.20533738332685544,-0.44426472501002756,-0.17552737287551914
1938,2008-10-20,241400000,9265.429688,1,-0.08343933330142285,0.17245680284932458,0.3387851047625213,0.0,0.28066397254458614,0.014648781482279482,0.2810123429792779,-0.3733387634539374,-0.18117630202124765,-0.4799694782608696,0.0,-0.4242754593489241,-0.5296855692918193,0.0,0.0,0.0,0.4168188301855206,0.0,0.15933350994024092,-0.5066963350055742,-0.4393256550813317,-0.32078167176633754,-0.4614083537519827,0.0,0.3106165925721611,-0.343661681869459
1937,2008-10-21,231160000,9033.660156,0,-0.07834660389127981,-0.037456052751596226,0.2205145965133692,-0.3803853454946824,0.045329013704233395,-0.5646577620688489,0.0,0.28993219411500637,-0.24522628890154866,-0.531900070275711,0.17404111002140032,0.16290919014898575,0.42815123513453135,-0.3428825022975073,-0.3856634066867058,-0.44493245090390016,-0.2771787990074442,-0.18805393065603207,0.0,0.30867467629141915,-0.37516656225445283,0.24645391896126534,-0.061167860873776694,0.0,0.0,0.0
1936,2008-10-22,348840000,8519.209961,0,-0.12085652151523346,0.19445478875743244,-0.2667943298568715,0.3439883045203589,0.0,-0.2546378606728752,0.0,-0.558366144929614,0.0,0.0,-0.2877291813208933,-0.33530132510848226,-0.22651676795426798,-0.22962330531112138,0.3867788569153708,-0.5004479017790784,0.3839964085942646,0.10686316104638116,-0.15234958541701962,-0.25129700793034127,-0.2741319094205421,-0.2918978458301964,-0.4458590189125904,-0.36254237327075095,0.0,0.0
1935,2008-10-23,340740000,8691.25,1,-0.10255357291011573,0.2798056456228956,0.4018091650197629,-0.6043036810730776,0.42573949315901494,-0.6157625960258206,-0.3032670990241643,0.46660781903919835,-0.45050482566134514,0.0,0.0,0.0,-0.5066165067420326,0.18028799763020217,-0.1851182844932845,0.0,-0.37159575168219455,-0.5743130645272602,-0.06374777153997477,-0.42340474236904396,-0.19595508050683108,-0.029102207858524222,0.32043205464975844,0.0,0.0,-0.3148298863701717
1934,2008-10-24,335680000,8378.950195,0,-0.1953490422838546,0.0,-0.5961579353282253,-0.4676843708767079,-0.5657030379799136,0.19782555776491073,0.5136306727106094,-0.4072308644573389,-0.2511732949658219,0.0,0.4133493180406551,-0.6105744237788513,0.0,-0.3045275947009759,0.45129752624850994,-0.3455312977614174,0.0,0.0,-0.31589793592582266,-0.34963721249145596,-0.6389298860281559,-0.544078869439739,-0.3572091749706262,-0.5195671451950986,-0.18592608796089918,0.0
1933,2008-10-27,281180000,8175.77002,0,-0.16460853192357663,-0.4616332616048369,0.0,0.0,-0.20147644134282067,0.1822828797668716,0.0,-0.4264275022586109,-0.45186749761464595,-0.48804324725187004,0.17636120438203773,0.4193189418415792,-0.40738734903614626,-0.5637453486714151,-0.36213262318651196,0.0,0.0,0.0,-0.3633132487231336,-0.48024161287625416,0.0,0.11344994616509839,0.0,0.0,-0.6377772130989031,-0.1625809245798538
1932,2008-10-28,372160000,9065.120117,1,-0.15995858538264845,-0.30850369420710516,-0.40976330219780216,-0.3559437313797313,-0.5481184944318134,-0.38257762229706616,-0.2911665184692151,0.04869222640148365,-0.4348805354156713,-0.47497315034452264,-0.5181080902906808,0.0,0.0,0.303789725695164,-0.06069511540211879,0.0,0.0,-0.16451971020110745,0.2655372788264522,0.0,0.10628323633652982,0.0,0.0,-0.3836362575633431,0.0,-0.3903808796256639
